Plot,Depth,BD_reported_g_cm3,OC_perc,N_perc,C_N
Plot 1,0-10,1.23,1.00,0.12,9.44
Plot 1,15-30,1.21,1.40,0.09,17.33
Plot 1,30-50,1.08,0.70,0.03,24.70
Plot 1,50-100,1.23,0.50,0.03,22.86
Plot 2,0-15,0.71,1.20,0.38,3.66
Plot 2,15-30,1.34,1.40,0.27,6.14
Plot 2,30-50,1.20,0.80,0.03,29.32
Plot 2,50-100,1.47,0.60,0.02,30.81
Plot 3,0-15,1.20,1.60,0.16,11.84
Plot 3,15-30,1.18,1.50,0.11,15.30
Plot 3,30-50,1.39,,,
Plot 3,80-100,1.11,0.60,0.03,26.78
Plot 4,0-15,1.31,1.20,0.17,8.12
Plot 4,15-30,1.56,1.00,0.04,31.01
Plot 4,30-50,1.43,0.50,0.03,21.87
Plot 4,80-100,1.25,0.60,0.02,28.15
Plot 5,0-15,0.57,4.60,0.51,10.47
Plot 5,15-30,1.27,4.30,0.28,18.04
Plot 5,30-50,1.47,0.60,0.02,32.00
