X,Y,gid,Name,description,tessellate
-116.025747222222,30.4570084308785,"1",Arco Plot 5,,"-1"
-116.025869444444,30.4579695419896,"2",Arco Plot 1,,"-1"
-115.979977777778,30.4652667642118,"3",Kenton Plot 5,,"-1"
-115.980805555556,30.4657473197674,"4",Kenton Plot 1,,"-1"
-115.983733333333,30.5136862086563,"5",Chapala Plot 5,,"-1"
-115.982705555556,30.5133445419896,"6",Chapala Plot 1,,"-1"
-115.983218998272,30.5135150766617,"7",Chapala transect,,"1"
-115.982799611524,30.5133740346101,"8",Chapala 10m,,"-1"
-115.982996190987,30.5134371431058,"9",Chapala 30m,,"-1"
-115.983188326967,30.5135044541256,"10",Chapala 50m,,"-1"
-115.983386083945,30.5135684380306,"11",Chapala 70m,,"-1"
-115.983579700134,30.513634712485,"12",Chapala 90m,,"-1"
-115.980391560435,30.4655073902513,"13",Kenton transact,,"1"
-115.98006346212,30.4653149710291,"14",Kenton 10m,,"-1"
-115.980235827254,30.465416832222,"15",Kenton 30m,,"-1"
-115.980405848819,30.4655152128799,"16",Kenton 50m,,"-1"
-115.980580505587,30.4656175841831,"17",Kenton 70m,,"-1"
-115.98075191678,30.4657176916862,"18",Kenton 90m,,"-1"
-116.025807026637,30.4574896257356,"19",Arco transect,,"1"
-116.025855087149,30.4578789257437,"20",Arco 10m,,"-1"
-116.025837227569,30.4577021252893,"21",Arco 30m,,"-1"
-116.025812689808,30.4575242986184,"22",Arco 50m,,"-1"
-116.025789898268,30.4573420866107,"23",Arco 70m,,"-1"
-116.025769382576,30.4571622874464,"24",Arco 90m,,"-1"
