Site,Location,Date,Year_collected,Depth_cm,Latitude_N,Longitude_E,Labile OM (%),Refractory OM (%),Total OM (%),Rp,TOC (%),TN (%),C/N molar ratio,Î›,(Ad/Al)v,(Ad/Al)s
Andong salt marsh,TA 8,"Aug14, 2014",2014,0-5 ,30.366°,121.193°,5.65,4.24,6.89,0.62,0.72,0.09,9.4,2.5,0.46,0.07
Andong salt marsh,TA 7,"Aug14, 2014",2014,0-5 ,30.369°,121.193°,3.37,4.62,7.99,0.58,0.79,0.09,10.8,3.11,0.28,0.28
Andong salt marsh,TA 6,"Aug14, 2014",2014,0-5 ,30.371°,121.192°,2.07,4.07,6.14,0.66,0.63,0.08,9.1,1.33,0.2,0.55
Andong salt marsh,TA 5,"Aug14, 2014",2014,0-5 ,30.373°,121.192°,1.53,2.67,4.2,0.63,0.48,0.06,9,1.27,0.13,1.34
Andong salt marsh,TA 4,"Aug14, 2014",2014,0-5 ,30.376°,121.192°,1.25,2.21,3.46,0.64,0.38,0.05,9.6,1.3,0.15,0.17
Andong salt marsh,TA 3,"Aug14, 2014",2014,0-5 ,30.378°,121.192°,1.24,1.63,2.87,0.57,0.29,0.04,8.3,1.6,0.14,0.2
Andong salt marsh,TA 2,"Aug14, 2014",2014,0-5 ,30.379°,121.191°,0.98,1.81,2.79,0.65,0.18,0.03,6.6,2.79,0.1,0.09
Andong salt marsh,TA 1,"Aug14, 2014",2014,0-5 ,30.381°,121.191°,1.42,2.88,4.29,0.67,0.28,0.04,8.04,0.79,0.07,0.38
Andong salt marsh,TC 10,"Sep 14, 2014",2014,0-5 ,30.366°,121.185°,1.99,2.8,4.78,0.58,0.74,0.07,11.7,0.46,0.1,0.35
Andong salt marsh,TC 9,"Sep 14, 2014",2014,0-5 ,30.367°,121.186°,1.89,2.84,4.73,0.6,0.67,0.08,10.2,2.69,0.01,0.37
Andong salt marsh,TC 8,"Sep 14, 2014",2014,0-5 ,30.370°,121.186°,3.1,1.84,4.94,0.37,0.58,0.07,9.4,3.09,0.66,0.06
Andong salt marsh,TC 7,"Sep 14, 2014",2014,0-5 ,30.371°,121.186°,2.16,2.02,4.17,0.48,0.65,0.07,10.4,2.91,0.41,0.03
Andong salt marsh,TC 6,"Sep 14, 2014",2014,0-5 ,30.372°,121.185°,1.94,2.83,4.77,0.59,0.61,0.07,9.5,2.85,0.73,0.5
Andong salt marsh,TC 3,"Sep 14, 2014",2014,0-5 ,30.377°,121.184°,1.17,1.98,3.15,0.63,0.36,0.04,9.6,2.9,0.96,0.08
Andong salt marsh,TC 2,"Sep 14, 2014",2014,0-5 ,30.379°,121.184°,1.31,2.26,3.57,0.63,0.47,0.05,10.2,3.77,0.7,0.32
Andong salt marsh,TC 1,"Sep 14, 2014",2014,0-5 ,30.381°,121.184°,1.86,3.37,5.23,0.65,0.44,0.05,10.7,1.63,1.68,0.06
