"","Source","Site_name","Site","Core","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","BD_reported_g_cm3","DOI"
"1","Pollman et al 2021","TP Spiekerook Ostplate D2","Spiekerook Ostplate","D2","Salt marsh",53.775699,7.757301,"direct from dataset","1","Germany","2016",0,0.05,"EA",14.78,NA,"https://doi.org/10.1594/PANGAEA.932812"
"2","Pollman et al 2021","TP Spiekerook Ostplate D4","Spiekerook Ostplate","D4","Salt marsh",53.774925,7.758052,"direct from dataset","1","Germany","2016",0,0.05,"EA",21.68,NA,"https://doi.org/10.1594/PANGAEA.932812"
"3","Pollman et al 2021","TP Spiekerook Ostplate D4","Spiekerook Ostplate","D4","Salt marsh",53.774925,7.758052,"direct from dataset","1","Germany","2016",0.05,0.1,"EA",4.38,NA,"https://doi.org/10.1594/PANGAEA.932812"
"4","Pollman et al 2021","TP Spiekerook Ostplate D7","Spiekerook Ostplate","D7","Salt marsh",53.772546,7.759153,"direct from dataset","1","Germany","2016",0,0.05,"EA",7.93,NA,"https://doi.org/10.1594/PANGAEA.932812"
"5","Pollman et al 2021","TP Spiekerook Ostplate D7","Spiekerook Ostplate","D7","Salt marsh",53.772546,7.759153,"direct from dataset","1","Germany","2016",0.13,0.18,"EA",3.9,NA,"https://doi.org/10.1594/PANGAEA.932812"
"6","Pollman et al 2021","TP Spiekerook Ostplate D8","Spiekerook Ostplate","D8","Salt marsh",53.772272,7.759541,"direct from dataset","1","Germany","2016",0,0.05,"EA",7.61,NA,"https://doi.org/10.1594/PANGAEA.932812"
"7","Pollman et al 2021","TP Spiekerook Ostplate D8","Spiekerook Ostplate","D8","Salt marsh",53.772272,7.759541,"direct from dataset","1","Germany","2016",0.17,0.22,"EA",2.13,NA,"https://doi.org/10.1594/PANGAEA.932812"
"8","Pollman et al 2021","TP Spiekerook Ostplate D10","Spiekerook Ostplate","D10","Salt marsh",53.770942,7.760414,"direct from dataset","1","Germany","2016",0,0.05,"EA",6.52,NA,"https://doi.org/10.1594/PANGAEA.932812"
"9","Pollman et al 2021","TP Spiekerook Ostplate D10","Spiekerook Ostplate","D10","Salt marsh",53.770942,7.760414,"direct from dataset","1","Germany","2016",0.06,0.11,"EA",2.53,NA,"https://doi.org/10.1594/PANGAEA.932812"
"10","Pollman et al 2021","TP Spiekerook Ostplate D13","Spiekerook Ostplate","D13","Salt marsh",53.766289,7.761431,"direct from dataset","1","Germany","2016",0,0.05,"EA",2.95,NA,"https://doi.org/10.1594/PANGAEA.932812"
"11","Pollman et al 2021","TP Spiekerook Ostplate F3","Spiekerook Ostplate","F3","Salt marsh",53.776385,7.775969,"direct from dataset","1","Germany","2016",0,0.05,"EA",10.94,NA,"https://doi.org/10.1594/PANGAEA.932812"
"12","Pollman et al 2021","TP Spiekerook Ostplate F3","Spiekerook Ostplate","F3","Salt marsh",53.776385,7.775969,"direct from dataset","1","Germany","2016",0.05,0.1,"EA",5.83,NA,"https://doi.org/10.1594/PANGAEA.932812"
"13","Pollman et al 2021","TP Spiekerook Ostplate F5","Spiekerook Ostplate","F5","Salt marsh",53.775167,7.776354,"direct from dataset","1","Germany","2016",0,0.09,"EA",18.1,NA,"https://doi.org/10.1594/PANGAEA.932812"
"14","Pollman et al 2021","TP Spiekerook Ostplate F7","Spiekerook Ostplate","F7","Salt marsh",53.773995,7.776873,"direct from dataset","1","Germany","2016",0,0.05,"EA",13.62,NA,"https://doi.org/10.1594/PANGAEA.932812"
"15","Pollman et al 2021","TP Spiekerook Ostplate F7","Spiekerook Ostplate","F7","Salt marsh",53.773995,7.776873,"direct from dataset","1","Germany","2016",0.08,0.13,"EA",5,NA,"https://doi.org/10.1594/PANGAEA.932812"
"16","Pollman et al 2021","TP Spiekerook Ostplate F9","Spiekerook Ostplate","F9","Salt marsh",53.772806,7.777408,"direct from dataset","1","Germany","2016",0,0.05,"EA",14.98,NA,"https://doi.org/10.1594/PANGAEA.932812"
"17","Pollman et al 2021","TP Spiekerook Ostplate F9","Spiekerook Ostplate","F9","Salt marsh",53.772806,7.777408,"direct from dataset","1","Germany","2016",0.11,0.16,"EA",5.78,NA,"https://doi.org/10.1594/PANGAEA.932812"
"18","Pollman et al 2021","TP Spiekerook Ostplate F12","Spiekerook Ostplate","F12","Salt marsh",53.771474,7.778099,"direct from dataset","1","Germany","2016",0,0.05,"EA",10.81,NA,"https://doi.org/10.1594/PANGAEA.932812"
"19","Pollman et al 2021","TP Spiekerook Ostplate F12","Spiekerook Ostplate","F12","Salt marsh",53.771474,7.778099,"direct from dataset","1","Germany","2016",0.08,0.13,"EA",3.49,NA,"https://doi.org/10.1594/PANGAEA.932812"
"20","Pollman et al 2021","TP Spiekerook Ostplate F13","Spiekerook Ostplate","F13","Salt marsh",53.770962,7.778114,"direct from dataset","1","Germany","2016",0,0.05,"EA",9.71,NA,"https://doi.org/10.1594/PANGAEA.932812"
"21","Pollman et al 2021","TP Spiekerook Ostplate F13","Spiekerook Ostplate","F13","Salt marsh",53.770962,7.778114,"direct from dataset","1","Germany","2016",0.19,0.24,"EA",2.49,NA,"https://doi.org/10.1594/PANGAEA.932812"
"22","Pollman et al 2021","TP Spiekerook Ostplate F15","Spiekerook Ostplate","F15","Salt marsh",53.769465,7.778491,"direct from dataset","1","Germany","2016",0,0.05,"EA",4.03,NA,"https://doi.org/10.1594/PANGAEA.932812"
"23","Pollman et al 2021","TP Spiekerook Ostplate F15","Spiekerook Ostplate","F15","Salt marsh",53.769465,7.778491,"direct from dataset","1","Germany","2016",0.14,0.19,"EA",4.34,NA,"https://doi.org/10.1594/PANGAEA.932812"
"24","Pollman et al 2021","TP Spiekerook Ostplate F17","Spiekerook Ostplate","F17","Salt marsh",53.768391,7.778917,"direct from dataset","1","Germany","2016",0,0.05,"EA",4.63,NA,"https://doi.org/10.1594/PANGAEA.932812"
"25","Pollman et al 2021","TP Spiekerook Ostplate F17","Spiekerook Ostplate","F17","Salt marsh",53.768391,7.778917,"direct from dataset","1","Germany","2016",0.15,0.2,"EA",1.88,NA,"https://doi.org/10.1594/PANGAEA.932812"
"26","Pollman et al 2021","TP Spiekerook Ostplate F19","Spiekerook Ostplate","F19","Salt marsh",53.7673,7.779418,"direct from dataset","1","Germany","2016",0,0.05,"EA",4.33,NA,"https://doi.org/10.1594/PANGAEA.932812"
"27","Pollman et al 2021","TP Spiekerook Ostplate F19","Spiekerook Ostplate","F19","Salt marsh",53.7673,7.779418,"direct from dataset","1","Germany","2016",0.23,0.28,"EA",2.3,NA,"https://doi.org/10.1594/PANGAEA.932812"
"28","Pollman et al 2021","TP Spiekerook Ostplate F20","Spiekerook Ostplate","F20","Salt marsh",53.767031,7.779472,"direct from dataset","1","Germany","2016",0,0.05,"EA",2.86,NA,"https://doi.org/10.1594/PANGAEA.932812"
"29","Pollman et al 2021","TP Spiekerook Ostplate F20","Spiekerook Ostplate","F20","Salt marsh",53.767031,7.779472,"direct from dataset","1","Germany","2016",0.25,0.3,"EA",3.06,NA,"https://doi.org/10.1594/PANGAEA.932812"
"30","Pollman et al 2021","TP Spiekerook Ostplate F22","Spiekerook Ostplate","F22","Salt marsh",53.766664,7.779589,"direct from dataset","1","Germany","2016",0,0.05,"EA",13.32,NA,"https://doi.org/10.1594/PANGAEA.932812"
"31","Pollman et al 2021","TP Spiekerook Ostplate F22","Spiekerook Ostplate","F22","Salt marsh",53.766664,7.779589,"direct from dataset","1","Germany","2016",0.29,0.34,"EA",3.61,NA,"https://doi.org/10.1594/PANGAEA.932812"
"32","Pollman et al 2021","TP Spiekerook Ostplate F23","Spiekerook Ostplate","F23","Salt marsh",53.766548,7.779607,"direct from dataset","1","Germany","2016",0,0.05,"EA",2.25,NA,"https://doi.org/10.1594/PANGAEA.932812"
"33","Pollman et al 2021","TP Spiekerook Ostplate F23","Spiekerook Ostplate","F23","Salt marsh",53.766548,7.779607,"direct from dataset","1","Germany","2016",0.15,0.2,"EA",2.51,NA,"https://doi.org/10.1594/PANGAEA.932812"
"34","Pollman et al 2021","TP Spiekerook Ostplate G4","Spiekerook Ostplate","G4","Salt marsh",53.77545,7.797142,"direct from dataset","1","Germany","2016",0,0.05,"EA",18.04,NA,"https://doi.org/10.1594/PANGAEA.932812"
"35","Pollman et al 2021","TP Spiekerook Ostplate G4","Spiekerook Ostplate","G4","Salt marsh",53.77545,7.797142,"direct from dataset","1","Germany","2016",0.06,0.11,"EA",12.62,NA,"https://doi.org/10.1594/PANGAEA.932812"
"36","Pollman et al 2021","TP Spiekerook Ostplate G5","Spiekerook Ostplate","G5","Salt marsh",53.775415,7.797249,"direct from dataset","1","Germany","2016",0,0.03,"EA",17.46,NA,"https://doi.org/10.1594/PANGAEA.932812"
"37","Pollman et al 2021","TP Spiekerook Ostplate G9","Spiekerook Ostplate","G9","Salt marsh",53.774744,7.795797,"direct from dataset","1","Germany","2016",0,0.04,"EA",13.11,NA,"https://doi.org/10.1594/PANGAEA.932812"
"38","Pollman et al 2021","TP Spiekerook Ostplate G10","Spiekerook Ostplate","G10","Salt marsh",53.773471,7.796122,"direct from dataset","1","Germany","2016",0,0.05,"EA",4,NA,"https://doi.org/10.1594/PANGAEA.932812"
"39","Pollman et al 2021","TP Spiekerook Ostplate G10","Spiekerook Ostplate","G10","Salt marsh",53.773471,7.796122,"direct from dataset","1","Germany","2016",0.05,0.1,"EA",3.73,NA,"https://doi.org/10.1594/PANGAEA.932812"
"40","Pollman et al 2021","TP Spiekerook Ostplate G15","Spiekerook Ostplate","G15","Salt marsh",53.771033,7.795752,"direct from dataset","1","Germany","2016",0,0.05,"EA",3.33,NA,"https://doi.org/10.1594/PANGAEA.932812"
"41","Pollman et al 2021","TP Spiekerook Ostplate G15","Spiekerook Ostplate","G15","Salt marsh",53.771033,7.795752,"direct from dataset","1","Germany","2016",0.07,0.12,"EA",3.19,NA,"https://doi.org/10.1594/PANGAEA.932812"
