"","Source","Site_name","Site","Plot","Habitat_type","Latitude","Longitude","accuracy_flag","accuracy_code","Country","Year_collected","U_depth_m","L_depth_m","Method","OC_perc","TN_perc","BD_reported_g_cm3","DOI"
"1","Yuan et al 2017","HWY Andong TA 8","Andong","TA 8","Salt marsh","30.366","121.193","direct from dataset","1","China",2014,0,0.05,"EA",0.72,0.09,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"2","Yuan et al 2017","HWY Andong TA 7","Andong","TA 7","Salt marsh","30.369","121.193","direct from dataset","1","China",2014,0,0.05,"EA",0.79,0.09,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"3","Yuan et al 2017","HWY Andong TA 6","Andong","TA 6","Salt marsh","30.371","121.192","direct from dataset","1","China",2014,0,0.05,"EA",0.63,0.08,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"4","Yuan et al 2017","HWY Andong TA 5","Andong","TA 5","Salt marsh","30.373","121.192","direct from dataset","1","China",2014,0,0.05,"EA",0.48,0.06,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"5","Yuan et al 2017","HWY Andong TA 4","Andong","TA 4","Salt marsh","30.376","121.192","direct from dataset","1","China",2014,0,0.05,"EA",0.38,0.05,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"6","Yuan et al 2017","HWY Andong TA 3","Andong","TA 3","Salt marsh","30.378","121.192","direct from dataset","1","China",2014,0,0.05,"EA",0.29,0.04,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"7","Yuan et al 2017","HWY Andong TA 2","Andong","TA 2","Salt marsh","30.379","121.191","direct from dataset","1","China",2014,0,0.05,"EA",0.18,0.03,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"8","Yuan et al 2017","HWY Andong TA 1","Andong","TA 1","Salt marsh","30.381","121.191","direct from dataset","1","China",2014,0,0.05,"EA",0.28,0.04,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"9","Yuan et al 2017","HWY Andong TC 10","Andong","TC 10","Salt marsh","30.366","121.185","direct from dataset","1","China",2014,0,0.05,"EA",0.74,0.07,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"10","Yuan et al 2017","HWY Andong TC 9","Andong","TC 9","Salt marsh","30.367","121.186","direct from dataset","1","China",2014,0,0.05,"EA",0.67,0.08,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"11","Yuan et al 2017","HWY Andong TC 8","Andong","TC 8","Salt marsh","30.370","121.186","direct from dataset","1","China",2014,0,0.05,"EA",0.58,0.07,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"12","Yuan et al 2017","HWY Andong TC 7","Andong","TC 7","Salt marsh","30.371","121.186","direct from dataset","1","China",2014,0,0.05,"EA",0.65,0.07,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"13","Yuan et al 2017","HWY Andong TC 6","Andong","TC 6","Salt marsh","30.372","121.185","direct from dataset","1","China",2014,0,0.05,"EA",0.61,0.07,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"14","Yuan et al 2017","HWY Andong TC 3","Andong","TC 3","Salt marsh","30.377","121.184","direct from dataset","1","China",2014,0,0.05,"EA",0.36,0.04,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"15","Yuan et al 2017","HWY Andong TC 2","Andong","TC 2","Salt marsh","30.379","121.184","direct from dataset","1","China",2014,0,0.05,"EA",0.47,0.05,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
"16","Yuan et al 2017","HWY Andong TC 1","Andong","TC 1","Salt marsh","30.381","121.184","direct from dataset","1","China",2014,0,0.05,"EA",0.44,0.05,NA,"https://doi.org/10.1016/j.jmarsys.2017.06.001"
